date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:39:02	6475/6475	UR-MCZ	200	added ('OK')	application/javascript	date:Thu,%2022%20Dec%202022%2008:17:06%20GMT	https://www.granatensistraduccion.com/wp-includes/js/dist/vendor/regenerator-runtime.min.js?ver=0.13.9	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-includes/js/dist/vendor/regenerator-runtime.min3937.js	(from https://www.granatensistraduccion.com/)
09:39:02	17823/17823	UR-MCZ	200	added ('OK')	application/javascript	date:Thu,%2022%20Dec%202022%2008:17:13%20GMT	https://www.granatensistraduccion.com/wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=3.15.0	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-includes/js/dist/vendor/wp-polyfill.min2c7c.js	(from https://www.granatensistraduccion.com/)
09:39:03	5712/5712	UR-MC-	416	error ('Range%20Not%20Satisfiable')	text/html	date:Thu,%2026%20Jan%202023%2008:39:03%20GMT	https://www.granatensistraduccion.com/wp-json/wp/v2/pages/52	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-json/wp/v2/pages/52.json	(from https://www.granatensistraduccion.com/quienes-somos/)
09:39:04	52694/52694	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Jan%202023%2012:26:05%20GMT	https://www.granatensistraduccion.com/wp-content/plugins/weglot/dist/images/rect_mate.png	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-content/plugins/weglot/dist/images/rect_mate.png	(from https://www.granatensistraduccion.com/wp-content/plugins/weglot/dist/css/front-css.css?ver=3.9)
09:39:05	5712/5712	UR-MC-	416	error ('Range%20Not%20Satisfiable')	text/html	date:Thu,%2026%20Jan%202023%2008:39:05%20GMT	https://www.granatensistraduccion.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.granatensistraduccion.com%2Fquienes-somos%2F	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-json/oembed/1.0/embed8af7.json	(from https://www.granatensistraduccion.com/quienes-somos/)
09:39:05	5712/5712	UR-MC-	416	error ('Range%20Not%20Satisfiable')	text/html	date:Thu,%2026%20Jan%202023%2008:39:05%20GMT	https://www.granatensistraduccion.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.granatensistraduccion.com%2Fquienes-somos%2F&format=xml	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-json/oembed/1.0/embeded13	(from https://www.granatensistraduccion.com/quienes-somos/)
09:39:05	5712/5712	UR-MC-	416	error ('Range%20Not%20Satisfiable')	text/html	date:Thu,%2026%20Jan%202023%2008:39:05%20GMT	https://www.granatensistraduccion.com/wp-json/wp/v2/pages/26	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-json/wp/v2/pages/26.json	(from https://www.granatensistraduccion.com/contacto/)
09:39:06	34616/34616	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Jan%202023%2012:26:05%20GMT	https://www.granatensistraduccion.com/wp-content/plugins/weglot/dist/images/rect_bright.png	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-content/plugins/weglot/dist/images/rect_bright.png	(from https://www.granatensistraduccion.com/wp-content/plugins/weglot/dist/css/front-css.css?ver=3.9)
09:39:06	5712/5712	UR-MC-	416	error ('Range%20Not%20Satisfiable')	text/html	date:Thu,%2026%20Jan%202023%2008:39:06%20GMT	https://www.granatensistraduccion.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.granatensistraduccion.com%2Fpolitica-de-privacidad%2F&format=xml	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-json/oembed/1.0/embed14e1	(from https://www.granatensistraduccion.com/politica-de-privacidad/)
09:39:07	5712/5712	UR-MC-	416	error ('Range%20Not%20Satisfiable')	text/html	date:Thu,%2026%20Jan%202023%2008:39:07%20GMT	https://www.granatensistraduccion.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.granatensistraduccion.com%2Fcontacto%2F&format=xml	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-json/oembed/1.0/embed6f40	(from https://www.granatensistraduccion.com/contacto/)
09:39:07	5712/5712	UR-MC-	416	error ('Range%20Not%20Satisfiable')	text/html	date:Thu,%2026%20Jan%202023%2008:39:07%20GMT	https://www.granatensistraduccion.com/wp-json/wp/v2/pages/15	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-json/wp/v2/pages/15.json	(from https://www.granatensistraduccion.com/politica-de-privacidad/)
09:39:08	63569/63569	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Jan%202023%2012:26:05%20GMT	https://www.granatensistraduccion.com/wp-content/plugins/weglot/dist/images/square_flag.png	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-content/plugins/weglot/dist/images/square_flag.png	(from https://www.granatensistraduccion.com/wp-content/plugins/weglot/dist/css/front-css.css?ver=3.9)
09:39:08	52694/52694	URF---	200	added ('OK%20(cached)')	image/png		https://www.granatensistraduccion.com/wp-content/plugins/weglot/dist/images/rect_mate.png	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-content/plugins/weglot/dist/images/rect_mate.png	(from https://www.granatensistraduccion.com/wp-content/plugins/weglot/dist/css/front-css.css?ver=3.9)
09:39:08	34616/34616	URF---	200	added ('OK%20(cached)')	image/png		https://www.granatensistraduccion.com/wp-content/plugins/weglot/dist/images/rect_bright.png	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-content/plugins/weglot/dist/images/rect_bright.png	(from https://www.granatensistraduccion.com/wp-content/plugins/weglot/dist/css/front-css.css?ver=3.9)
09:39:08	56564/56564	UR-MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2021%20Dec%202022%2010:56:59%20GMT	https://www.granatensistraduccion.com/wp-includes/fonts/dashicons.eot?99ac726223c749443b642ce33df8b800	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-includes/fonts/dashicons7d4b.eot	(from https://www.granatensistraduccion.com/wp-includes/css/dashicons.min.css?ver=6.1.1)
09:39:10	63569/63569	URF---	200	added ('OK%20(cached)')	image/png		https://www.granatensistraduccion.com/wp-content/plugins/weglot/dist/images/square_flag.png	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-content/plugins/weglot/dist/images/square_flag.png	(from https://www.granatensistraduccion.com/wp-content/plugins/weglot/dist/css/front-css.css?ver=3.9)
09:39:10	84063/84063	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Jan%202023%2012:26:05%20GMT	https://www.granatensistraduccion.com/wp-content/plugins/weglot/dist/images/circular_flag.png	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-content/plugins/weglot/dist/images/circular_flag.png	(from https://www.granatensistraduccion.com/wp-content/plugins/weglot/dist/css/front-css.css?ver=3.9)
09:39:11	1000/1000	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%229fa1e08a55619bea14fac2d309fc1b29%22	https://cdn.weglot.com/flags/circle/za.svg	/Users/lleoun/websites/granatensis/cdn.weglot.com/flags/circle/za.svg	(from https://www.granatensistraduccion.com/wp-content/plugins/weglot/app/styles/new-flags.css?ver=3.9)
09:39:20	56392/56392	---MCZ	200	added ('OK')	application/font-sfnt	date:Wed,%2021%20Dec%202022%2010:57:00%20GMT	https://www.granatensistraduccion.com/wp-includes/fonts/dashicons.ttf?99ac726223c749443b642ce33df8b800	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-includes/fonts/dashicons7d4b.ttf	(from https://www.granatensistraduccion.com/wp-includes/css/dashicons.min.css?ver=6.1.1)
